score_min,score_max,edge_score,score_median,total_edges,cut_edges,cut_rate,bin_left,bin_right
206.143096,206.287935,206.21564971428572,206.203356,7,0,0.0,206.017,206.295
206.343776,206.486715,206.398811,206.365942,3,0,0.0,206.295,206.572
206.763611,206.843218,206.8034145,206.8034145,2,1,0.5,206.572,206.849
206.973775,207.066541,207.02015799999998,207.02015799999998,2,1,0.5,206.849,207.127
207.206641,207.385496,207.32433366666666,207.380864,3,1,0.3333333333333333,207.127,207.404
207.576992,207.646049,207.61152049999998,207.61152049999998,2,0,0.0,207.404,207.681
207.699188,207.938642,207.8426992857143,207.865122,7,2,0.2857142857142857,207.681,207.958
207.979334,208.192907,208.09574066666667,208.0999195,6,0,0.0,207.958,208.236
208.256432,208.509859,208.43953679999998,208.493924,5,0,0.0,208.236,208.513
208.625879,208.749919,208.6557308,208.634078,5,1,0.2,208.513,208.79
208.951093,209.055398,209.00949366666666,209.02199,3,2,0.6666666666666666,208.79,209.068
209.479984,209.479984,209.479984,209.479984,1,1,1.0,209.345,209.622
209.743965,209.838186,209.80518733333335,209.833411,3,0,0.0,209.622,209.899
210.095912,210.153892,210.12490200000002,210.12490200000002,2,0,0.0,209.899,210.177
210.206636,210.275228,210.240932,210.240932,2,0,0.0,210.177,210.454
210.539335,210.675457,210.59868379999998,210.591728,5,0,0.0,210.454,210.731
210.764505,210.764505,210.764505,210.764505,1,0,0.0,210.731,211.008
211.028169,211.218897,211.123533,211.123533,2,0,0.0,211.008,211.286
211.540149,211.540149,211.540149,211.540149,1,0,0.0,211.286,211.563
211.568086,211.803306,211.670532,211.6720435,6,1,0.16666666666666666,211.563,211.84
211.919769,212.108404,212.0220512,212.039502,5,0,0.0,211.84,212.118
212.200908,212.389432,212.30261860000002,212.356494,5,0,0.0,212.118,212.395
212.423954,212.470451,212.4472025,212.4472025,2,0,0.0,212.395,212.672
212.75635,212.89101,212.82368,212.82368,2,0,0.0,212.672,212.949
212.973378,213.120487,213.0299226666667,212.995903,3,1,0.3333333333333333,212.949,213.227
213.346019,213.435624,213.39082150000002,213.39082150000002,2,1,0.5,213.227,213.504
213.565857,213.673848,213.6358268,213.640424,5,1,0.2,213.504,213.781
213.946141,213.946141,213.946141,213.946141,1,0,0.0,213.781,214.059
214.141756,214.295352,214.19400699999997,214.144913,3,1,0.3333333333333333,214.059,214.336
214.446194,214.520408,214.48330099999998,214.48330099999998,2,2,1.0,214.336,214.613
214.626023,214.84345,214.76448375,214.79423100000002,4,1,0.25,214.613,214.89
215.060838,215.093119,215.0769785,215.0769785,2,0,0.0,214.89,215.168
215.215476,215.418941,215.31737933333332,215.317721,3,0,0.0,215.168,215.445
215.465436,215.701536,215.5356402,215.498575,5,0,0.0,215.445,215.722
215.740162,215.826945,215.78355349999998,215.78355349999998,2,0,0.0,215.722,215.999
216.093068,216.238549,216.1658085,216.1658085,2,0,0.0,215.999,216.277
216.377122,216.377122,216.377122,216.377122,1,0,0.0,216.277,216.554
216.662858,216.679997,216.6714275,216.6714275,2,0,0.0,216.554,216.831
216.887562,217.06709,216.94790733333335,216.88907,3,0,0.0,216.831,217.109
217.239757,217.239757,217.239757,217.239757,1,0,0.0,217.109,217.386
217.492346,217.589987,217.5411665,217.5411665,2,0,0.0,217.386,217.663
217.724757,217.849381,217.7631286666667,217.7511265,6,1,0.16666666666666666,217.663,217.94
218.076563,218.212114,218.14736733333334,218.153425,3,1,0.3333333333333333,217.94,218.218
218.275529,218.302615,218.2845576666667,218.275529,3,0,0.0,218.218,218.495
218.767137,218.767137,218.767137,218.767137,1,1,1.0,218.495,218.772
218.827314,219.046726,218.92157740000002,218.874947,5,1,0.2,218.772,219.05
219.415072,219.415072,219.415072,219.415072,2,0,0.0,219.327,219.604
